site,date,longitude,latitude,reg01,reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17
text,yyyymmdd,dd,dd,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
LVR,20101123,-121.7083,37.6741,0.0000E+00,-7.2825E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.0967E+00,0.0000E+00,2.8324E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.1723E-01
LVR,20101125,-121.7083,37.6741,-2.6397E-01,2.7844E-02,9.2898E-01,2.5576E-02,4.7983E-02,0.0000E+00,-1.1080E+00,-8.4112E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.2949E-04,0.0000E+00,-8.7035E-03
LVR,20101127,-121.7083,37.6741,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-6.0795E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-8.2537E-03
LVR,20101129,-121.7083,37.6741,-3.8288E-02,5.2542E-02,4.0658E+00,4.4526E-01,9.3653E-02,0.0000E+00,-1.7774E+00,5.3266E-03,-7.2697E-03,0.0000E+00,-7.5746E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-5.8602E-03,1.2022E-01
SBC,20101101,-117.313,34.0855,0.0000E+00,0.0000E+00,0.0000E+00,-4.2163E-03,0.0000E+00,-5.9513E-03,0.0000E+00,-4.6004E-03,-4.5992E-04,8.8434E-02,7.3800E-02,-5.3411E-02,-1.8840E-02,-3.4800E-05,0.0000E+00,5.8299E-03,6.7632E-02
SBC,20101103,-117.313,34.0855,1.5605E-03,4.2600E-06,6.9728E-03,1.2090E-02,0.0000E+00,1.2215E-02,-2.3245E-02,-2.3337E-02,-1.2689E-02,1.3418E-01,2.0419E-04,2.0352E-01,6.1188E-02,-1.0205E-02,-2.4900E-06,2.1962E-02,7.8265E-01
SBC,20101105,-117.313,34.0855,2.5101E-02,1.0672E-02,1.3343E-02,1.3971E-03,8.3780E-04,6.0283E-04,7.4643E-03,3.8337E-03,8.9729E-03,1.4744E-02,1.4009E-03,-4.8955E-01,1.2994E-01,5.5598E-01,1.5563E-04,7.3263E-03,1.6824E+00
SBC,20101107,-117.313,34.0855,4.1281E-02,6.8240E-02,1.3007E-01,6.6550E-02,1.7951E-02,2.1916E-02,1.7453E-01,1.4058E-01,2.0968E-01,7.4931E-02,1.9266E-01,1.1548E-01,2.0130E-02,2.1157E-02,1.4788E-04,2.3593E-01,1.9483E-01
SBC,20101109,-117.313,34.0855,2.2527E-02,1.2498E-03,1.0202E-01,2.7173E-02,1.3672E-02,3.7231E-02,9.4718E-02,8.6582E-02,9.5187E-02,1.0441E-03,1.0070E-02,-9.5603E-01,6.3040E-02,2.8052E-01,9.0197E-04,1.3025E-01,1.1300E-02
SBC,20101111,-117.313,34.0855,5.4535E-02,1.0177E-01,6.4839E-02,7.6423E-03,7.0812E-03,1.8219E-02,5.3405E-03,4.6100E-05,0.0000E+00,-1.4600E-01,0.0000E+00,-1.5149E-01,0.0000E+00,0.0000E+00,-2.3880E-04,4.1057E-03,5.6183E-01
SBC,20101113,-117.313,34.0855,-3.8300E-03,1.1619E-02,-4.6856E-03,-6.4973E-04,9.3733E-04,3.4737E-02,7.3619E-03,4.9569E-03,5.4080E-03,-2.7973E-01,0.0000E+00,-1.6371E-01,1.2576E-04,0.0000E+00,1.5653E-04,1.3782E-04,5.1140E-01
SBC,20101115,-117.313,34.0855,1.2040E-02,-3.8073E-03,-2.2501E-03,-1.2116E-02,-1.7429E-04,1.0463E-01,0.0000E+00,-3.2186E-03,5.5000E-05,3.1204E-01,4.2932E-03,6.5969E-01,2.9037E-02,1.6039E-01,-9.8400E-05,7.8183E-03,8.4873E-01
SBC,20101117,-117.313,34.0855,1.8543E-01,3.3035E-02,1.7656E-02,1.4256E-01,4.0748E-04,1.0973E-01,7.7933E-03,2.5537E-02,1.6425E-02,7.2071E-01,2.2502E-01,1.9808E+00,2.6417E-01,9.7245E-02,7.9134E-03,6.2128E-01,2.7296E-01
SBC,20101119,-117.313,34.0855,1.5535E-02,1.3331E-03,6.3958E-03,4.2357E-02,3.6268E-04,5.9786E-02,3.3488E-03,1.0515E-02,1.1308E-02,2.1794E-01,1.9099E-01,1.1028E+00,2.1769E-01,1.0364E+00,1.8878E-03,3.9709E-01,3.2444E-01
SBC,20101121,-117.313,34.0855,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-4.8782E-02,-2.2019E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.0629E-02
SBC,20101123,-117.313,34.0855,0.0000E+00,3.3467E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0266E-02,1.5851E-03,3.7833E-02,0.0000E+00,1.1288E+00,-5.7816E-01,0.0000E+00,0.0000E+00,0.0000E+00,1.8444E-03,1.5571E-01
SBC,20101125,-117.313,34.0855,-3.4176E-03,-4.7238E-02,-5.4098E-03,5.1377E-03,-2.5175E-03,1.2798E-02,1.8274E-02,1.9384E-02,6.1966E-02,5.7031E-01,5.8872E-02,-7.9015E-02,2.9466E-01,-5.5673E-02,1.8189E-04,8.0011E-02,-4.1447E-02
SBC,20101127,-117.313,34.0855,-1.4831E-02,-2.2004E-02,-1.4959E-02,2.7710E-02,-1.7392E-03,2.8597E-02,1.9680E-03,6.2903E-03,1.0201E-02,9.4556E-02,-2.4044E-02,-8.1085E-01,3.8882E-03,1.1932E-01,4.5122E-04,1.1549E-01,-9.6191E-02
SBC,20101129,-117.313,34.0855,4.0006E-02,2.1486E-03,3.3030E-03,-4.3862E-02,2.5039E-04,2.1148E-02,0.0000E+00,0.0000E+00,0.0000E+00,-1.5262E-01,0.0000E+00,-2.8212E-01,0.0000E+00,0.0000E+00,-2.2086E-03,-5.5600E-06,1.6313E-01
SIO,20101101,-117.25,32.8667,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3682E-04,0.0000E+00,0.0000E+00,2.1369E-02,-1.3478E-02,1.3316E+00,1.3105E+00,4.2002E-02,5.0818E-01,0.0000E+00,9.1490E-02,-4.0570E+00
SIO,20101103,-117.25,32.8667,1.8125E-02,1.2658E-02,3.0730E-02,1.1007E-02,2.2145E-03,-8.1045E-03,1.4316E-03,-1.8741E-03,2.3357E-02,1.0181E-01,4.5114E-01,1.7954E-01,1.2045E-01,2.2807E+00,-3.8037E-04,4.2223E-01,-3.7725E+00
SIO,20101105,-117.25,32.8667,4.8366E-02,1.7745E-02,1.3718E-02,-2.6333E-03,6.3615E-04,2.0484E-04,2.2844E-03,-1.0462E-03,-4.8500E-05,2.1494E-02,6.7700E-05,4.6514E-02,1.5276E-01,-2.5864E+00,3.9400E-05,1.5502E-03,-7.9931E-01
